tex_file,line,number,context,status,hit_files,human_confirmed
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_1.tex,15,"0,1","\item $S \in \{0,1\}$ is the sensitive attribute, the presence of a brow-line facial scar;",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_1.tex,16,"0,1","\item $Y \in \{0,1\}$ is the target label, the acute-stress state;",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_2_revisions.tex,12,88,"\textit{Relevance to this thesis.} Although the final pipeline uses UBFC-Phys rather than WESAD, this benchmark informs it in three ways. First, both datasets i",FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\analysis\thesis_final_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_2_revisions.tex,12,93.12,"\textit{Relevance to this thesis.} Although the final pipeline uses UBFC-Phys rather than WESAD, this benchmark informs it in three ways. First, both datasets i",FOUND,outputs\pds_per_subject.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\leakage_run\estimator_comparison_full_output.txt;outputs\leakage_run\null_corrs.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_2_revisions.tex,21,1.6,"\textit{Relevance to this thesis.} Costantini et al.\ validated the Empatica E4, the wrist device with which UBFC-Phys records the BVP and EDA signals used in t",FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,2,224,EQUITAS-RCMF takes two inputs: a $224 \times 224$ RGB facial video frame $X_V$ and a physiological feature vector $X_P$ derived from wrist-worn blood volume pul,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\manifest_geometry_audit.pre_o7.txt;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\eqarnb_pruning_fairness_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,2,224,EQUITAS-RCMF takes two inputs: a $224 \times 224$ RGB facial video frame $X_V$ and a physiological feature vector $X_P$ derived from wrist-worn blood volume pul,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\manifest_geometry_audit.pre_o7.txt;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\eqarnb_pruning_fairness_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,12,576,The vision branch uses a MobileNetV3-Small backbone~\cite{howard2019} pretrained on ImageNet-1K. It produces a spatial feature map $\mathbf{A} \in \mathbb{R}^{5,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,14,576,\mathbf{v}_{\text{raw}} = \operatorname{Pool}(\mathbf{A}) \in \mathbb{R}^{576}.,FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\chapters\chapter_3.tex,22,192,"The physiological branch processes the BVP and EDA feature vector with a two-layer multilayer perceptron using layer normalization and SiLU activations, produci",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv,
